OBJECTID,LOCATION_ID,MIDPNT_LAT,MIDPNT_LON,HMGNS_FLOW_ID,HMGNS_LNK_ID,HMGNS_LNK_DESC,FLOW,ALLVEHS_MMW,ALLVEH_CALC,ALLVEHS_AADT,TRUCKS_AADT,TRUCK_CALC,PER_TRUCKS,TWO_WAY_AADT,ALLVEH_AMPEAK,ALLVEH_PMPEAK,GROWTH_RATE,CI,YR,LABEL
356505,1016,-37.0499937005299,146.071853171537,1016,1083,MAROONDAH HIGHWAY btwn HIGH STREET & KIDSTON PARADE,EAST BOUND,2000,E,2100,263,E,0.15,4200,,,0.04,0.006,2017,"2,100* (13% 263*) EAST BOUND"
356506,1019,-38.1534254683135,144.357909210277,1019,1093,MCKILLOP STREET btwn YARRA STREET & MOORABOOL STREET,EAST BOUND,7100,E,7500,1200,E,0.19,16000,,,0.005,0.005,2017,"7,500* (16% 1,200*) EAST BOUND"
356507,1021,-38.1704802160292,144.391463542509,1021,1099,QUEENSCLIFF ROAD btwn MOOLAP STATION ROAD & WILSONS ROAD,EAST BOUND,14000,E,14000,520,E,0.04,26000,,,0.001,0.006,2017,"14,000* (4% 520*) EAST BOUND"
356508,1024,-37.2824777988409,142.931803306359,1024,1111,CAMPBELL STREET btwn HIGH STREET & PYRENEES HIGHWAY,NORTH EAST BOUND,3200,E,3400,229,E,0.08,7300,,,0.038,0.014,2017,"3,400* (7% 229*) NORTH EAST BOUND"
356509,1027,-37.0516188859075,143.730193463011,1027,1120,HIGH STREET btwn DERBY ROAD & MARYBOROUGH-MAJORCA ROAD,NORTH EAST BOUND,2500,E,2700,338,E,0.16,5200,,,0.014,0.009000000000000001,2017,"2,700* (13% 338*) NORTH EAST BOUND"
356510,845,-37.1085646031819,144.055099659218,845,1130,LYONS STREET btwn PYRENEES HIGHWAY & HILLIERS STREET,EAST BOUND,991,E,1100,117,E,0.14,2100,,,0.002,0.007,2017,"1,100* (11% 117*) EAST BOUND"
356511,847,-37.8447840397731,145.040023758765,847,1143,TOORAK ROAD btwn MONASH FREEWAY Offramp & AUBURN ROAD,EAST BOUND,21000,E,19000,436,E,0.03,40000,,,-0.001,0.003,2017,"19,000* (2% 436*) EAST BOUND"
356512,850,-37.8494261732637,145.109008790622,850,1153,BURWOOD ROAD btwn ELGAR ROAD & STATION STREET,EAST BOUND,21000,A,19000,1000,E,0.06,38000,1100,1900,0.0,0.001,2017,"19,000 (5% 1,000*) EAST BOUND"
356513,853,-37.8761847625465,145.257721801702,853,1162,BURWOOD HIGHWAY btwn SCORESBY ROAD & FERNTREE GULLY ROAD,EAST BOUND,17000,E,15000,669,E,0.05,31000,,,-0.002,0.004,2017,"15,000* (4% 669*) EAST BOUND"
356514,1231,-37.5596925702503,149.153915876249,1231,1171,CANN VALLEY HIGHWAY btwn BENNETT STREET & PRINCES HIGHWAY EAST,SOUTH BOUND,206,E,218,58,E,0.33,460,,,-0.001,0.015000000000000001,2017,218* (27% 58*) SOUTH BOUND
356515,1235,-37.7588867452881,142.052902836228,1235,1182,HAMILTON HIGHWAY btwn PETSCHELS LANE & UNNAMED,EAST BOUND,873,E,925,156,E,0.21,1900,,,0.025,0.006,2017,925* (17% 156*) EAST BOUND
356516,1043,-38.0769064160392,142.79307871248,1043,1191,HAMILTON HIGHWAY btwn CONNEWARREN LANE & DUNLOP STREET,SOUTH EAST BOUND,1100,E,1200,209,E,0.22,2400,,,0.018000000000000002,0.004,2017,"1,200* (17% 209*) SOUTH EAST BOUND"
356517,1240,-37.9530202095294,143.336059487352,1240,1199,HIGH STREET btwn BROWN STREET & WEST STREET,EAST BOUND,1100,E,1100,243,E,0.26,2200,,,0.02,0.002,2017,"1,100* (22% 243*) EAST BOUND"
356518,1119,-36.493340416122,144.609361711729,1119,535,RAILWAY PLACE btwn ELMORE-RAYWOOD ROAD & MARGARET STREET,SOUTH BOUND,2100,E,2200,413,E,0.23,4300,,,0.023,0.005,2017,"2,200* (19% 413*) SOUTH BOUND"
356519,1473,-36.9079641125378,144.694638136225,1473,543,HIGH STREET btwn MCIVOR HIGHWAY & MITCHELL STREET,SOUTH EAST BOUND,3100,E,3200,484,E,0.18,6400,,,0.032,0.008,2017,"3,200* (15% 484*) SOUTH EAST BOUND"
356520,936,-37.2813905732491,144.950117098868,936,554,SYDNEY STREET btwn NORTHERN HIGHWAY & POWLETT STREET,SOUTH BOUND,5100,E,5400,714,E,0.16,11000,,,0.026000000000000002,0.004,2017,"5,400* (13% 714*) SOUTH BOUND"
356521,761,-36.1114460344351,146.893643110468,761,642,HIGH STREET btwn HIGH STREET & HUME FREEWAY,SOUTH BOUND,11000,E,12000,504,E,0.05,12000,,,-0.029,0.014,2017,"12,000* (4% 504*) SOUTH BOUND"
356522,955,-38.0005338344796,145.22553239053,955,658,SOUTH GIPPSLAND HIGHWAY btwn GREENS ROAD & LONSDALE STREET,SOUTH BOUND,21000,A,19000,1500,E,0.09,32000,1000,1600,0.05,0.011000000000000001,2017,"19,000 (8% 1,500*) SOUTH BOUND"
356523,768,-38.1198873165567,145.287662781945,768,673,SOUTH GIPPSLAND HIGHWAY btwn CLYDE-FIVE WAYS ROAD & JENNIFER STREET,SOUTH EAST BOUND,8400,E,7500,841,E,0.13,15000,,,0.013000000000000001,0.003,2017,"7,500* (11% 841*) SOUTH EAST BOUND"
356524,1147,-38.2718455188002,145.547616096547,1147,683,SOUTH GIPPSLAND HIGHWAY btwn SOUTH GIPPSLAND HIGHWAY & SOUTH GIPPSLAND HIGHWAY,SOUTH BOUND,7400,E,6700,859,E,0.15,14000,,,0.007,0.002,2017,"6,700* (13% 859*) SOUTH BOUND"
356525,773,-38.4718703541661,145.942581257608,773,696,ANDERSON STREET btwn MCCARTIN STREET & SOUTH GIPPSLAND HIGHWAY,SOUTH EAST BOUND,3800,E,4100,370,E,0.11,8100,,,0.022000000000000002,0.007,2017,"4,100* (9% 370*) SOUTH EAST BOUND"
356526,777,-38.577614629647,146.01541145636,777,704,WHITELAW STREET btwn MIRBOO NORTH-MEENYAN ROAD & WHITELAW STREET,EAST BOUND,2200,E,2300,282,E,0.15,4600,,,0.019,0.008,2017,"2,300* (12% 282*) EAST BOUND"
356527,1153,-38.6629711277458,146.32826261551,1153,712,SOUTH GIPPSLAND HIGHWAY btwn BARRY ROAD & SILCOCKS HILL ROAD,EAST BOUND,882,E,934,144,E,0.19,1900,,,0.01,0.006,2017,934* (15% 144*) EAST BOUND
356528,1506,-38.5574626496433,146.677297764885,1506,720,COMMERCIAL ROAD btwn DEVON STREET & BUCKLEY STREET,NORTH BOUND,2000,E,2100,114,E,0.07,4200,,,0.006,0.004,2017,"2,100* (5% 114*) NORTH BOUND"
356529,1508,-38.5264433275197,146.870437473608,1508,724,HIGH STREET btwn MCLOUGHLINS BEACH ROAD & DUKE STREET,NORTH EAST BOUND,635,E,673,110,E,0.2,1400,,,0.016,0.004,2017,673* (16% 110*) NORTH EAST BOUND
356530,1165,-34.2065061315968,142.136381122276,1165,754,DEAKIN AVENUE btwn FIFTEENTH STREET & ELEVENTH STREET EAST,NORTH EAST BOUND,8500,E,9000,453,E,0.06,18000,,,0.021,0.002,2017,"9,000* (5% 453*) NORTH EAST BOUND"
356531,1168,-36.1116906451294,143.929063242115,1168,762,LODDON VALLEY HIGHWAY btwn BOORT-PYRAMID ROAD & BOORT-PYRAMID ROAD,SOUTH BOUND,978,E,1000,258,E,0.31,2000,,,0.029,0.004,2017,"1,000* (26% 258*) SOUTH BOUND"
356532,1169,-36.7405670036808,144.258884662374,1169,770,EAGLEHAWK ROAD btwn LONG GULLY-WHITE HILL ROAD & CREETH STREET,SOUTH BOUND,7400,E,7800,643,E,0.1,16000,,,0.02,0.002,2017,"7,800* (8% 643*) SOUTH BOUND"
356533,979,-37.8646310135267,144.985872963356,979,778,ST KILDA ROAD btwn INKERMAN STREET & BRIGHTON ROAD,SOUTH BOUND,35000,E,32000,1700,E,0.06,65000,,,-0.002,0.002,2017,"32,000* (5% 1,700*) SOUTH BOUND"
356534,981,-37.8998368446205,145.006458736781,981,786,NEPEAN HIGHWAY btwn NORTH ROAD & HAMPTON STREET,SOUTH BOUND,44000,E,40000,1600,E,0.05,80000,,,0.005,0.004,2017,"40,000* (4% 1,600*) SOUTH BOUND"
356535,1525,-37.9360470148138,145.036864256274,1525,796,NEPEAN HIGHWAY btwn STATION STREET & WICKHAM ROAD,SOUTH BOUND,34000,A,30000,1600,E,0.06,60000,1900,2600,-0.001,0.003,2017,"30,000 (5% 1,600*) SOUTH BOUND"
356536,796,-37.9821734738716,145.071350632043,796,803,NEPEAN HIGHWAY btwn WARRIGAL ROAD & LOWER DANDENONG ROAD,EAST BOUND,28000,E,25000,946,E,0.04,56000,,,0.0,0.003,2017,"25,000* (4% 946*) EAST BOUND"
356537,987,-38.1307788591371,145.12510385485,987,812,NEPEAN HIGHWAY btwn OVERTON ROAD & FLETCHER ROAD,SOUTH BOUND,20000,E,18000,852,E,0.05,35000,,,0.007,0.003,2017,"18,000* (5% 852*) SOUTH BOUND"
356538,1530,-38.2446669814813,145.037519747767,1530,821,NEPEAN HIGHWAY btwn BENTONS ROAD & CRAIGIE ROAD,SOUTH BOUND,8700,E,7800,689,E,0.1,16000,,,0.008,0.002,2017,"7,800* (9% 689*) SOUTH BOUND"
356539,1182,-36.3691128457212,142.980894915077,1182,834,HAMMILL STREET btwn AITKEN AVENUE & BORUNG HIGHWAY,NORTH EAST BOUND,442,E,468,56,E,0.15,850,,,0.001,0.011000000000000001,2017,468* (12% 56*) NORTH EAST BOUND
356540,995,-35.3995728138903,142.437342587029,995,845,CHAMBERLAIN STREET btwn PATCHEWOLLOCK-SEA LAKE ROAD & GOUDIE STREET,SOUTH BOUND,274,E,290,76,E,0.32,580,,,0.021,0.002,2017,290* (26% 76*) SOUTH BOUND
356541,1534,-35.6808841380768,142.661758392953,1534,849,SUNRAYSIA HIGHWAY btwn HOPETOUN-WOOMELANG ROAD & BROOK STREET,EAST BOUND,191,E,202,40,E,0.25,410,,,0.022000000000000002,0.002,2017,202* (20% 40*) EAST BOUND
356542,873,-37.827835492098,144.816881304487,873,1280,WEST GATE FREEWAY btwn PRINCES FREEWAY WEST & WEST GATE FREEWAY Offramp,NORTH EAST BOUND,78000,E,70000,6900,E,0.11,146000,,,0.02,0.003,2017,"70,000* (10% 6,900*) NORTH EAST BOUND"
356543,1255,-37.8246072591054,144.875442591513,1255,1290,WEST GATE FREEWAY btwn WEST GATE FREEWAY Offramp & WILLIAMSTOWN ROAD,EAST BOUND,94000,E,84000,12000,E,0.16,172000,,,0.017,0.004,2017,"84,000* (14% 12,000*) EAST BOUND"
356544,1262,-37.7934623617803,144.982773193088,1262,1336,ALEXANDRA PARADE btwn SMITH STREET & GEORGE STREET,EAST BOUND,40000,A,36000,3500,E,0.11,66000,2400,2400,0.003,0.005,2017,"36,000 (10% 3,500*) EAST BOUND"
356545,1269,-37.7995240485487,145.147538073855,1269,1363,EASTERN FREEWAY btwn BLACKBURN RD & MIDDLEBOROUGH RD,EAST BOUND,79000,E,71000,3900,E,0.06,143000,,,0.036000000000000004,0.008,2017,"71,000* (6% 3,900*) EAST BOUND"
356546,1274,-37.7144814146571,145.082855251332,1274,1395,GREENSBOROUGH ROAD btwn GREENSBOROUGH HIGHWAY & ERSKINE ROAD,SOUTH BOUND,28000,E,25000,1600,E,0.07,50000,,,0.009000000000000001,0.004,2017,"25,000* (6% 1,600*) SOUTH BOUND"
356547,1077,-37.6862720142961,145.00712588077,1077,1405,METROPOLITAN RING ROAD btwn METROPOLITAN RING ROAD Onramp & METROPOLITAN RING ROAD Offramp,EAST BOUND,57000,E,52000,3700,E,0.08,103000,,,0.029,0.003,2017,"52,000* (7% 3,700*) EAST BOUND"
356548,889,-37.694076807408,144.911025974508,889,1426,WESTERN RING ROAD btwn PASCOE VALE RD & TULLAMARINE FWY,WEST BOUND,78000,E,70000,7700,E,0.13,70000,,,-0.003,0.023,2017,"70,000* (11% 7,700*) WEST BOUND"
356549,1831,-37.7413025264412,144.8485107384,1831,1443,WESTERN RING ROAD btwn WESTERN RING ROAD Onramp & WESTERN RING ROAD Offramp,SOUTH WEST BOUND,77000,E,69000,7900,E,0.13,135000,,,0.023,0.004,2017,"69,000* (12% 7,900*) SOUTH WEST BOUND"
356550,1081,-37.7703827286133,144.795442267761,1081,1453,WESTERN RING ROAD btwn BALLARAT ROAD & WESTERN RING ROAD Onramp,SOUTH BOUND,71000,E,64000,7600,E,0.14,125000,,,0.02,0.007,2017,"64,000* (12% 7,600*) SOUTH BOUND"
356551,1621,-37.8332546987604,144.994507370101,1621,8882,SOUTHERN LINK TOLLWAY BTWN PUNT RD & BURNLEY RD,EAST BOUND,19000,E,17000,1500,E,0.1,89000,,,0.008,0.008,2017,"17,000* (9% 1,500*) EAST BOUND"
356552,242,-38.2526844895945,146.592681885555,242,3935,YARRAM-TRARALGON ROAD btwn GRAND RIDGE ROAD & HYLAND HIGHWAY,SOUTH EAST BOUND,1300,E,1300,134,E,0.12,2600,,,0.056,0.012,2017,"1,300* (10% 134*) SOUTH EAST BOUND"
356553,1470,-36.1406800774661,144.729893257773,1470,527,NORTHERN HIGHWAY btwn NORTHERN HIGHWAY & MCSWAIN ROAD,SOUTH BOUND,6800,E,7200,517,E,0.09,15000,,,0.015000000000000001,0.005,2017,"7,200* (7% 517*) SOUTH BOUND"
356554,996,-35.4035144972598,142.439547433774,996,847,SUNRAYSIA HIGHWAY btwn CHAMBERLAIN STREET & HENTY HIGHWAY,SOUTH BOUND,276,E,292,100,E,0.42,580,,,0.049,0.008,2017,292* (34% 100*) SOUTH BOUND
356555,998,-35.9862187395211,142.916432376828,998,855,SUNRAYSIA HIGHWAY btwn MC GRATH STREET & WARRACKNABEAL-BIRCHIP ROAD,SOUTH BOUND,174,E,184,39,E,0.26,420,,,-0.011000000000000001,0.01,2017,184* (21% 39*) SOUTH BOUND
356556,1095,-37.8453212591063,145.994968995268,1095,1592,LOCH VALLEY ROAD btwn GUNNS ROAD & BENNETT STREET,SOUTH BOUND,113,E,119,16,E,0.17,240,,,0.056,0.034,2017,119* (13% 16*) SOUTH BOUND
356557,1649,-36.7308677811167,146.108333717266,1649,1602,TATONG-TOLMIE ROAD btwn BENALLA-TATONG ROAD & MANSFIELD-WHITFIELD ROAD,SOUTH EAST BOUND,26,E,27,13,E,0.58,30,,,0.013000000000000001,0.005,2017,27* (48% 13*) SOUTH EAST BOUND
356558,1858,-37.1358904754144,142.509494439378,1858,1612,MT VICTORY ROAD btwn SILVERBAND ROAD & UNNAMED,NORTH EAST BOUND,165,E,174,15,E,0.11,390,,,0.055,0.021,2017,174* (9% 15*) NORTH EAST BOUND
356559,1641,-36.5583441428533,146.719816133419,1641,1632,MYRTLE STREET btwn STANDISH STREET & PRINCE STREET,SOUTH EAST BOUND,2600,E,2800,349,E,0.16,5700,,,-0.004,0.005,2017,"2,800* (12% 349*) SOUTH EAST BOUND"
356560,1646,-37.1006272490437,147.601093843716,1646,1650,GREAT ALPINE ROAD btwn BILTON STREET & RODGERS STREET,EAST BOUND,124,E,131,6,E,0.06,270,,,-0.053000000000000005,0.029,2017,131* (5% 6*) EAST BOUND
356561,1863,-36.7001143754061,146.909032748089,1863,1641,GREAT ALPINE ROAD btwn STACKEY GULLY ROAD & GREAT ALPINE ROAD,SOUTH EAST BOUND,2500,E,2700,206,E,0.1,5300,,,0.085,0.018000000000000002,2017,"2,700* (8% 206*) SOUTH EAST BOUND"
356562,1502,-38.5764047931601,146.024581881647,1502,707,SOUTH GIPPSLAND HIGHWAY btwn FLEMMING ROAD & WHITELAW STREET,EAST BOUND,1200,E,1200,257,E,0.25,2400,,,0.022000000000000002,0.005,2017,"1,200* (21% 257*) EAST BOUND"
356563,1504,-38.6655280777925,146.437668125683,1504,715,MAIN STREET btwn SOUTH GIPPSLAND HIGHWAY & PORT WELSHPOOL ROAD,EAST BOUND,824,E,873,163,E,0.23,1800,,,0.008,0.004,2017,873* (19% 163*) EAST BOUND
356564,781,-38.546361508604,146.699020101012,781,723,SOUTH GIPPSLAND HIGHWAY btwn HIGH STREET & YARRUM-TRARALGON ROAD,EAST BOUND,594,E,629,105,E,0.21,1300,,,0.021,0.002,2017,629* (17% 105*) EAST BOUND
356565,1514,-34.2202860568582,142.119749517487,1514,753,DEAKIN AVENUE btwn DEAKIN AVENUE Town Bound & FIFTEENTH STREET,NORTH EAST BOUND,3600,E,3800,381,E,0.12,7500,,,0.004,0.005,2017,"3,800* (10% 381*) NORTH EAST BOUND"
356566,789,-35.7625222384087,143.930851486433,789,761,LODDON VALLEY HIGHWAY btwn MURRAY VALLEY HIGHWAY & BOORT-PYRAMID ROAD,SOUTH BOUND,734,E,778,173,E,0.27,1600,,,0.02,0.006,2017,778* (22% 173*) SOUTH BOUND
356567,790,-36.7258755507333,144.258683800904,790,769,EAGLEHAWK ROAD btwn SANDHURST ROAD & LONG GULLY-WHITE HILL ROAD,SOUTH BOUND,4700,E,5000,294,E,0.07,10000,,,-0.012,0.01,2017,"5,000* (6% 294*) SOUTH BOUND"
356568,1171,-37.8604957303927,144.984470988905,1171,777,ST KILDA ROAD btwn ALMA ROAD & INKERMAN STREET,SOUTH BOUND,32000,E,29000,1600,E,0.06,58000,,,-0.007,0.004,2017,"29,000* (5% 1,600*) SOUTH BOUND"
356569,793,-37.8976084940798,145.005663429028,793,785,NEPEAN HIGHWAY btwn GARDENVALE ROAD & NORTH ROAD,SOUTH BOUND,42000,A,38000,1500,E,0.05,76000,2200,3400,0.002,0.003,2017,"38,000 (4% 1,500*) SOUTH BOUND"
356570,1524,-37.9330079415085,145.034375299149,1524,795,NEPEAN HIGHWAY btwn SOUTH ROAD & STATION STREET,SOUTH EAST BOUND,33000,E,30000,1600,E,0.06,64000,,,-0.001,0.003,2017,"30,000* (5% 1,600*) SOUTH EAST BOUND"
356571,1528,-37.9814784216003,145.070582109306,1528,802,NEPEAN HIGHWAY btwn BALCOMBE ROAD & WARRIGAL ROAD,SOUTH EAST BOUND,30000,E,27000,1000,E,0.04,56000,,,0.006,0.004,2017,"27,000* (4% 1,000*) SOUTH EAST BOUND"
356572,1529,-38.1098443549446,145.125755194179,1529,811,NEPEAN HIGHWAY btwn SEAFORD ROAD & OVERTON ROAD,SOUTH BOUND,10000,E,9000,182,E,0.02,17000,,,-0.02,0.008,2017,"9,000* (2% 182*) SOUTH BOUND"
356573,802,-38.2296459925078,145.044933773295,802,820,NEPEAN HIGHWAY btwn MAIN STREET & BENTONS ROAD,SOUTH BOUND,12000,E,10000,919,E,0.1,22000,,,0.004,0.001,2017,"10,000* (9% 919*) SOUTH BOUND"
356574,1533,-36.3398951069567,142.22584699821,1533,833,BORUNG HIGHWAY btwn BLUE RIBBON ROAD & WESTERN HIGHWAY,SOUTH WEST BOUND,170,E,180,32,E,0.22,360,,,0.015000000000000001,0.011000000000000001,2017,180* (18% 32*) SOUTH WEST BOUND
356575,806,-36.2582723349786,143.204269879927,806,837,BORUNG HIGHWAY btwn ST ARNAUD-WYCHEPROOF ROAD & ST ARNAUD-WYCHEPROOF ROAD,EAST BOUND,187,E,198,41,E,0.26,400,,,0.015000000000000001,0.006,2017,198* (21% 41*) EAST BOUND
356576,1185,-35.6193998817729,142.581855258051,1185,848,SUNRAYSIA HIGHWAY btwn HENTY HIGHWAY & HOPETOUN-WOOMELANG ROAD,SOUTH EAST BOUND,87,E,92,22,E,0.3,190,,,-0.002,0.005,2017,92* (24% 22*) SOUTH EAST BOUND
356577,245,-38.4667939315567,145.962036462013,245,4114,LEONGATHA-MIRBOO ROAD btwn LEONGATHA-YARRAGON ROAD & GRAND RIDGE WEST ROAD,EAST BOUND,2300,A,2400,398,E,0.2,4800,166,268,0.009000000000000001,0.013000000000000001,2017,"2,400 (17% 398*) EAST BOUND"
356578,1536,-36.0630151090381,142.885742357474,1536,856,SUNRAYSIA HIGHWAY btwn WARRACKNABEAL-BIRCHIP ROAD & CAMP STREET,SOUTH BOUND,165,E,174,26,E,0.18,290,,,-0.02,0.018000000000000002,2017,174* (15% 26*) SOUTH BOUND
356579,1189,-36.6101679710982,143.244629015201,1189,864,SUNRAYSIA HIGHWAY btwn UNNAMED & SILVERMINES ROAD,EAST BOUND,645,E,683,122,E,0.22,1400,,,0.033,0.003,2017,683* (18% 122*) EAST BOUND
356580,818,-38.6247850094545,145.709671958383,818,950,GOROKE STREET btwn POWLETT STREET & BASS HIGHWAY,EAST BOUND,3300,E,3500,245,E,0.09,7100,,,0.033,0.011000000000000001,2017,"3,500* (7% 245*) EAST BOUND"
356581,201,-38.0791862846921,142.79528947967,201,840,WARRNAMBOOL-MORTLAKE ROAD btwn DUNLOP STREET & REDDIE ROAD,SOUTH WEST BOUND,1200,E,1300,244,E,0.24,2600,,,0.038,0.006,2017,"1,300* (19% 244*) SOUTH WEST BOUND"
356582,1543,-37.0905085674789,143.4747866725,1543,874,HIGH STREET btwn BRIDPORT STREET & HIGH STREET,SOUTH BOUND,741,E,785,167,E,0.26,1600,,,0.026000000000000002,0.002,2017,785* (21% 167*) SOUTH BOUND
356583,1198,-37.8179368157519,145.123946926898,1198,1024,WHITEHORSE ROAD btwn MIDDLEBOROUGH ROAD & STATION STREET,EAST BOUND,18000,E,16000,535,E,0.04,28000,,,-0.001,0.003,2017,"16,000* (3% 535*) EAST BOUND"
356584,1548,-37.8167080217854,145.207595720329,1548,1033,WHITEHORSE ROAD btwn DAMPIER GROVE & DEEP CREEK ROAD,EAST BOUND,23000,E,21000,1100,E,0.06,43000,,,-0.018000000000000002,0.006,2017,"21,000* (5% 1,100*) EAST BOUND"
356585,1550,-37.7956751206721,145.257066766909,1550,1040,WHITEHORSE ROAD btwn KENT AVENUE & KALINDA ROAD,NORTH EAST BOUND,23000,E,21000,1100,E,0.06,42000,,,0.0,0.002,2017,"21,000* (5% 1,100*) NORTH EAST BOUND"
356586,1012,-37.7560905485886,145.343185129425,1012,1049,MAIN STREET btwn ANDERSON STREET & MAROONDAH HIGHWAY,EAST BOUND,14000,E,12000,1000,E,0.09,26000,,,0.006,0.003,2017,"12,000* (9% 1,000*) EAST BOUND"
356587,827,-37.7246972766777,145.378587095124,827,1058,MAROONDAH HIGHWAY btwn MELBA HIGHWAY & KILLARA ROAD,NORTH BOUND,8000,E,7200,509,E,0.08,14000,,,0.007,0.002,2017,"7,200* (7% 509*) NORTH BOUND"
356588,831,-37.6506982375912,145.522947379653,831,1067,MAROONDAH HIGHWAY btwn WALLACE PARADE & MYERS CREEK ROAD,EAST BOUND,2600,E,2300,152,E,0.08,4600,,,0.006,0.003,2017,"2,300* (7% 152*) EAST BOUND"
356589,835,-37.0267350318321,145.954056063973,835,1082,MAROONDAH HIGHWAY btwn KIDSTON PARADE & MAINDAMPLE-BENALLA ROAD,EAST BOUND,1400,E,1500,170,E,0.14,2900,,,0.037000000000000005,0.014,2017,"1,500* (11% 170*) EAST BOUND"
356590,1557,-38.1527105928152,144.355407433071,1557,1092,MCKILLOP STREET btwn MOORABOOL STREET & GHERINGHAP STREET,EAST BOUND,6700,E,7100,1100,E,0.19,15000,,,0.019,0.002,2017,"7,100* (15% 1,100*) EAST BOUND"
356591,839,-38.1685026268128,144.384552177896,839,1098,QUEENSCLIFF ROAD btwn WILSONS ROAD & ORMOND ROAD,EAST BOUND,13000,E,14000,542,E,0.05,28000,,,0.003,0.007,2017,"14,000* (4% 542*) EAST BOUND"
356592,1216,-38.2720712499982,144.624618680398,1216,1109,QUEENSCLIFF ROAD btwn FLINDERS STREET & POINT LONSDALE ROAD,EAST BOUND,2500,E,2600,145,E,0.07,5300,,,0.011000000000000001,0.005,2017,"2,600* (6% 145*) EAST BOUND"
356593,1221,-37.0509343728888,143.719696091772,1221,1119,ELGIN ROAD btwn ALMA ROAD & HIGH STREET,EAST BOUND,1400,E,1500,84,E,0.07,3000,,,0.016,0.006,2017,"1,500* (6% 84*) EAST BOUND"
356594,1223,-37.1082800194377,144.053649967709,1223,1129,PYRENEES HIGHWAY btwn CREEK ROAD & CAMPBELL ROAD,EAST BOUND,991,E,1100,117,E,0.14,2100,,,0.002,0.007,2017,"1,100* (11% 117*) EAST BOUND"
356595,1030,-37.0775695127013,144.247437620442,1030,1138,MAIN ROAD btwn DUKE STREET & PYRENEES HIGHWAY,EAST BOUND,2800,E,3000,266,E,0.11,6000,,,0.009000000000000001,0.005,2017,"3,000* (9% 266*) EAST BOUND"
356596,849,-37.8457029804037,145.053970323925,849,1147,TOORAK ROAD btwn BURKE ROAD & GLEN IRIS ROAD,EAST BOUND,13000,E,12000,629,E,0.06,23000,,,0.002,0.002,2017,"12,000* (5% 629*) EAST BOUND"
